datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.05T01:00:00.000,-4055.325,-0.51,1826.65,1.351775
2014.02.05T02:00:00.000,-4057.155,-1.83,6554.45,1.352385
2014.02.05T03:00:00.000,-4055.115,2.04,7306.6,1.351705
2014.02.05T04:00:00.000,-4053.345,1.77,6339.55,1.351115
2014.02.05T05:00:00.000,-4053.825,-0.48,1719.2,1.351275
2014.02.05T06:00:00.000,-4053.585,0.24,859.6,1.351195
2014.02.05T07:00:00.000,-4051.815,1.77,6339.55,1.350605
2014.02.05T08:00:00.000,-4052.835,-1.02,3653.3,1.350945
2014.02.05T09:00:00.000,-4056.075,-3.24,11604.6,1.352025
2014.02.05T10:00:00.000,-1491151.215,-381.6575229,1485806.1,1.351905
2014.02.05T11:00:00.000,-544487.255,926.7446308,2016914.6,1.351085
2014.02.05T12:00:00.000,-4055.655,-132.4915903,551430,1.351885
2014.02.05T13:00:00.000,-17580.745,-7.42183553,20121.25,1.352365
2014.02.05T14:00:00.000,-4054.335,-6.293529452,859.85,1.351445
2014.02.05T15:00:00.000,536678.495,208.5938715,3249772.35,1.351835
2014.02.05T16:00:00.000,537202.535,524.04,21337.8,1.353155
2014.02.05T17:00:00.000,266319.375,-263.0370972,249683.8,1.351875
2014.02.05T18:00:00.000,266608.965,289.59,24056.55,1.353345
2014.02.05T19:00:00.000,456117.705,27.8250123,191448.9,1.353465
2014.02.05T20:00:00.000,456121.075,3.37,165.05,1.353475
2014.02.05T21:00:00.000,456239.025,117.95,5776.75,1.353825
2014.02.05T22:00:00.000,456087.375,-151.65,7427.25,1.353375
2014.02.05T23:00:00.000,50084.865,13.5078406,410549.85,1.353645
2014.02.06T00:00:00.000,50075.615,-9.25,4201.25,1.353395
2014.02.06T01:00:00.000,50076.355,0.74,336.1,1.353415
2014.02.06T02:00:00.000,50070.065,-6.29,2856.85,1.353245
2014.02.06T03:00:00.000,50078.575,8.51,3865.15,1.353475
2014.02.06T04:00:00.000,50029.735,-48.84,22182.6,1.352155
2014.02.06T05:00:00.000,50033.805,4.07,1848.55,1.352265
2014.02.06T06:00:00.000,50011.235,-22.57,10251.05,1.351655
2014.02.06T07:00:00.000,50021.595,10.36,4705.4,1.351935
2014.02.06T08:00:00.000,50042.685,21.09,9578.85,1.352505
2014.02.06T09:00:00.000,50052.305,9.62,4369.3,1.352765
2014.02.06T10:00:00.000,22994.455,-9.019214404,24531.55,1.352615
2014.02.06T11:00:00.000,22999.385,4.93,4879.25,1.352905
2014.02.06T12:00:00.000,44606.265,-32.28374242,9547.51,1.351705
2014.02.06T13:00:00.000,51305.51,-56.97774829,19530.595,1.350145
2014.02.06T14:00:00.000,-63893.915,-138.4545042,367437.575,1.359445
2014.02.06T15:00:00.000,-72109.415,-50.88196936,56973.31,1.360555
2014.02.06T16:00:00.000,-72078.675,31.13619893,41798.75,1.359975
2014.02.06T17:00:00.000,-43530.4,-15.15166266,61748.875,1.360325
2014.02.06T18:00:00.000,-35361.69,6.946809784,3710.75,1.360065
2014.02.06T19:00:00.000,-23109.885,16.08761026,19967.115,1.359405
2014.02.06T20:00:00.000,-21739.76,11.21032373,1974.665,1.358735
2014.02.06T21:00:00.000,-21747.6,-7.84,8403.5,1.359225
2014.02.06T22:00:00.000,-21744.08,3.52,3773,1.359005
2014.02.06T23:00:00.000,-21744.56,-0.48,514.5,1.359035
2014.02.07T00:00:00.000,-21746.8,-2.24,2401,1.359175
2014.02.07T01:00:00.000,-29896.57,4.366737356,20344.83,1.358935
2014.02.07T02:00:00.000,-9514.855,-5.286048297,26054.415,1.359265
2014.02.07T03:00:00.000,-13591.85,0.549431832,2702.915,1.359185
2014.02.07T04:00:00.000,4077.345,-0.006157216,16465.475,1.359115
2014.02.07T05:00:00.000,5436.26,-0.210641505,499.115,1.359065
2014.02.07T06:00:00.000,-28531.125,6.707478001,31832.125,1.358625
2014.02.07T07:00:00.000,-24454.17,0.561059091,5759.085,1.358565
2014.02.07T08:00:00.000,-4076.085,-0.13416736,71533.865,1.358695
2014.02.07T09:00:00.000,14920.235,-6.858050396,20938.96,1.356385
2014.02.07T10:00:00.000,14924.745,4.51,7092.59,1.356795
2014.02.07T11:00:00.000,28484.505,-7.159545163,6817.44,1.356405
2014.02.07T12:00:00.000,28494.165,9.66,7962.14,1.356865
2014.02.07T13:00:00.000,17638.855,-0.398529023,26617.43,1.356835
2014.02.07T14:00:00.000,4077.915,33.66706541,80863.17,1.359305
2014.02.07T15:00:00.000,-8152.83,2.396510129,8985.965,1.358805
2014.02.07T16:00:00.000,-14980.075,-25.2579214,70161.125,1.361825
2014.02.07T17:00:00.000,9529.275,5.587786309,29425.6,1.361325
2014.02.07T18:00:00.000,0,-0.121266111,21896.055,1.362035
2014.02.07T19:00:00.000,-10895.88,-1.593872151,72676.29,1.361985
2014.02.07T20:00:00.000,-19079.55,-8.56989533,28304.73,1.362825
2014.02.07T21:00:00.000,-19094.67,-15.12,18880.56,1.363905
2014.02.09T22:00:00.000,-19090.47,4.2,5244.6,1.363605
2014.02.09T23:00:00.000,-13621.35,21.30498054,20250,1.362135
2014.02.10T00:00:00.000,-46303.75,11.89126837,33586.14,1.361875
2014.02.10T01:00:00.000,-70839.86,-16.56511605,40226.34,1.362305
2014.02.10T02:00:00.000,-64042.435,-16.0815533,12074.425,1.362605
2014.02.10T03:00:00.000,-62682.59,-2.607432776,2415.245,1.362665
2014.02.10T04:00:00.000,-62677.99,4.6,1754.4,1.362565
2014.02.10T05:00:00.000,-62666.95,11.04,4210.56,1.362325
2014.02.10T06:00:00.000,6811.275,3.728028599,68246.925,1.362255
2014.02.10T07:00:00.000,23164.965,3.075349728,25939.08,1.362645
2014.02.10T08:00:00.000,40918.35,29.35236696,46078.765,1.363945
2014.02.10T09:00:00.000,161031.65,60.17863077,143875.78,1.364675
2014.02.10T10:00:00.000,-47712.175,-71.15786585,185245.435,1.363205
